Symbol,Yahoo Symbol,Company,Price,Trailing P/E,Forward P/E,Market Cap,Beta,Dividend Rate,Dividend Yield,Currency,Quote Type,Sector,Industry,Weight
AEP,AEP,American Electric Power Company,136.91,20.58797,19.910706,74419273728.0,0.57,3.8,2.78,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0008886857903243
ROST,ROST,"Ross Stores, Inc.",228.84,34.62027,28.154493,74017136640.0,0.927,1.78,0.78,USD,EQUITY,Consumer Cyclical,Apparel Retail,0.0008853304362004
PWR,PWR,"Quanta Services, Inc.",742.21,102.09216,46.04389,111373598720.0,1.106,0.44,0.06,USD,EQUITY,Industrials,Engineering & Construction,0.0008721671635488
CMI,CMI,Cummins Inc.,657.44,32.054607,20.828125,90895958016.0,1.14,7.82,1.19,USD,EQUITY,Industrials,Specialty Industrial Machinery,0.0008672331010134
AXON,AXON,"Axon Enterprise, Inc.",402.31,262.94772,38.20673,32415000576.0,1.605,,,USD,EQUITY,Industrials,Aerospace & Defense,0.0008666283089706
VST,VST,Vistra Corp.,155.28,71.5576,13.855317,52569931776.0,1.498,0.92,0.59,USD,EQUITY,Utilities,Utilities - Independent Power Producers,0.0008566472874199
URI,URI,"United Rentals, Inc.",949.23,24.270773,17.643463,59465990144.0,1.681,7.88,0.83,USD,EQUITY,Industrials,Rental & Leasing Services,0.0008531704148266
MSCI,MSCI,MSCI Inc.,588.85,33.66781,26.214603,42825641984.0,1.294,8.2,1.39,USD,EQUITY,Financial Services,Financial Data & Stock Exchanges,0.0008527671710033
LULU,LULU,lululemon athletica inc.,133.58,10.073907,10.084813,15670419456.0,1.07,,,USD,EQUITY,Consumer Cyclical,Apparel Retail,0.0008313275252152
O,O,Realty Income Corporation,63.81,54.538464,35.08994,59499675648.0,0.796,3.24,5.07,USD,EQUITY,Real Estate,REIT - Retail,0.000831239389321
PSX,PSX,Phillips 66,176.19,17.427301,11.318202,70640738304.0,0.755,5.08,2.88,USD,EQUITY,Energy,Oil & Gas Refining & Marketing,0.0008200705228894
AIG,AIG,"American International Group, I",78.77,13.867957,8.919633,41976532992.0,,2.0,2.54,USD,EQUITY,Financial Services,Insurance - Diversified,0.0008157558434562
FANG,FANG,"Diamondback Energy, Inc.",207.65,36.23909,12.09319,58414383104.0,0.488,4.2,2.02,USD,EQUITY,Energy,Oil & Gas E&P,0.0008139387407156
D,D,"Dominion Energy, Inc.",63.94,18.426512,16.788145,56201003008.0,0.658,2.67,4.14,USD,EQUITY,Utilities,Utilities - Regulated Electric,0.0008109550901453
HWM,HWM,Howmet Aerospace Inc.,239.51,64.55795,42.645664,96029155328.0,1.235,0.48,0.2,USD,EQUITY,Industrials,Aerospace & Defense,0.0008100729942817
DHI,DHI,"D.R. Horton, Inc.",149.98,14.082629,12.460857,42531270656.0,1.445,1.8,1.2,USD,EQUITY,Consumer Cyclical,Residential Construction,0.000805845566436
KR,KR,Kroger Company (The),67.77,44.006493,12.0526495,42888183808.0,0.546,1.4,2.07,USD,EQUITY,Consumer Defensive,Grocery Stores,0.0008051995804427
NDAQ,NDAQ,"Nasdaq, Inc.",91.32,27.506025,20.638268,51645186048.0,1.024,1.12,1.23,USD,EQUITY,Financial Services,Financial Data & Stock Exchanges,0.0008034664131397
OXY,OXY,Occidental Petroleum Corporatio,58.71,43.488888,16.388546,58222424064.0,0.23,1.04,1.77,USD,EQUITY,Energy,Oil & Gas E&P,0.0007956475949921
EW,EW,Edwards Lifesciences Corporatio,83.98,45.394596,24.970343,48417972224.0,0.945,,,USD,EQUITY,Healthcare,Medical Devices,0.0007938273971783
COR,COR,"Cencora, Inc.",304.0,36.4946,15.51672,59137327104.0,0.718,2.4,0.79,USD,EQUITY,Healthcare,Medical Distribution,0.0007917581933559
